name,price,size_mm,color,rpm,airflow_cfm,noise_level_db,pwm,original_price
Iceberg Thermal IceGALE ARGB,0.0557515005259575,0.4210526315789473,Teal / White,0.1474358974358974,0.0007841171866233,0.3119468851377357,True,13.5
Iceberg Thermal IceGALE ARGB,0.0557515005259575,0.4210526315789473,Teal / White,0.1474358974358974,0.0007841171866233,0.3119468851377357,True,15.0
Iceberg Thermal IceGALE ARGB,0.0557515005259575,0.4210526315789473,Teal / White,0.1474358974358974,0.0007841171866233,0.3119468851377357,True,15.0
ID-COOLING TF-12025-ARGB-TRIO-SNOW 3-Pack,0.1715145297809216,0.4210526315789473,White,0.1025641025641025,0.0005620998093748,0.3119468851377357,True,32.20846315789474
NoiseBlocker NB-ELOOP X ARGB,0.1575397562032052,0.4210526315789473,Black,0.1548014621644285,0.0009172415597254,0.3119468851377357,True,144.81
NoiseBlocker NB-ELOOP X ARGB,0.1575397562032052,0.4210526315789473,Black,0.1548014621644285,0.0009172415597254,0.3119468851377357,True,26.95
NoiseBlocker NB-ELOOP X ARGB,0.1575397562032052,0.4210526315789473,Black,0.1548014621644285,0.0009172415597254,0.3119468851377357,True,34.33
NoiseBlocker NB-ELOOP X ARGB,0.1575397562032052,0.4210526315789473,Black,0.1548014621644285,0.0009172415597254,0.3119468851377357,True,29.95
NoiseBlocker NB-ELOOP X ARGB,0.1575397562032052,0.4210526315789473,Black,0.1548014621644285,0.0009172415597254,0.3119468851377357,True,37.13
NoiseBlocker NB-ELOOP X ARGB,0.1575397562032052,0.4210526315789473,Black,0.1548014621644285,0.0009172415597254,0.3119468851377357,True,122.64
NZXT FX,0.0461605098694387,0.5263157894736842,Black / White,0.1538461538461538,0.0472898734604213,0.3119468851377357,True,11.95
NZXT FX,0.0461605098694387,0.5263157894736842,Black / White,0.1538461538461538,0.0472898734604213,0.3119468851377357,True,32.20846315789474
NZXT FX,0.0461605098694387,0.5263157894736842,Black / White,0.1538461538461538,0.0472898734604213,0.3119468851377357,True,32.20846315789474
Noctua R8 redux-1800,0.0523482457768702,0.2105263157894736,Black / Gray,0.2051282051282051,0.0002451657006902,0.1861538461538461,False,12.95
Corsair AF140,0.1715145297809216,0.5263157894736842,Black,0.1282051282051282,0.0005466102249156,0.3153846153846154,False,32.20846315789474
Cooler Master MasterFan MF Prismatic,0.1641606336241569,0.4210526315789473,Black / White,0.1442307692307692,0.0004485095233407,0.3119468851377357,True,31.02
Thermaltake Riing Quad 14 RGB Radiator TT Premium Edition 3-Pack,0.5086937689499413,0.5263157894736842,White,0.0961538461538461,0.0004929990520374,0.3246153846153846,True,129.99
Thermaltake Riing Quad 14 RGB Radiator TT Premium Edition 3-Pack,0.5086937689499413,0.5263157894736842,White,0.0961538461538461,0.0004929990520374,0.3246153846153846,True,86.7
ARCTIC F14,0.0399108966029329,0.5263157894736842,White / Black,0.141025641025641,0.0006404082641407,0.3119468851377357,False,32.20846315789474
ARCTIC F14,0.0399108966029329,0.5263157894736842,White / Black,0.141025641025641,0.0006404082641407,0.3119468851377357,False,10.94
Montech METAL 120 PWM,0.1715145297809216,0.4210526315789473,Black,0.1506410256410256,0.0005689840691344,0.3230769230769231,True,32.20846315789474
Iceberg Thermal IceGALE 2-Pack,0.0834725573912505,0.5263157894736842,Gray,0.1089743589743589,0.0008013278360224,0.3119468851377357,True,17.98
Iceberg Thermal IceGALE 2-Pack,0.0834725573912505,0.5263157894736842,Gray,0.1089743589743589,0.0008013278360224,0.3119468851377357,True,17.98
Iceberg Thermal IceGALE 2-Pack,0.0834725573912505,0.5263157894736842,Gray,0.1089743589743589,0.0008013278360224,0.3119468851377357,True,17.98
be quiet! Silent Wings 4,0.1324794257781077,0.5263157894736842,White,0.2179487179487179,0.0006498741213102,0.3738461538461539,True,17.89
be quiet! Silent Wings 4,0.1324794257781077,0.5263157894736842,White,0.2179487179487179,0.0006498741213102,0.3738461538461539,True,23.9
be quiet! Silent Wings 4,0.1324794257781077,0.5263157894736842,White,0.2179487179487179,0.0006498741213102,0.3738461538461539,True,17.89
be quiet! Silent Wings 4,0.1324794257781077,0.5263157894736842,White,0.2179487179487179,0.0006498741213102,0.3738461538461539,True,22.9
be quiet! Silent Wings 4,0.1324794257781077,0.5263157894736842,White,0.2179487179487179,0.0006498741213102,0.3738461538461539,True,17.89
be quiet! Silent Wings 4,0.1324794257781077,0.5263157894736842,White,0.2179487179487179,0.0006498741213102,0.3738461538461539,True,24.9
be quiet! Silent Wings 4,0.1324794257781077,0.5263157894736842,White,0.2179487179487179,0.0006498741213102,0.3738461538461539,True,24.9
be quiet! Silent Wings 4,0.1324794257781077,0.5263157894736842,White,0.2179487179487179,0.0006498741213102,0.3738461538461539,True,25.9
be quiet! Silent Wings 4,0.1324794257781077,0.5263157894736842,White,0.2179487179487179,0.0006498741213102,0.3738461538461539,True,25.9
be quiet! Silent Wings 4,0.1324794257781077,0.5263157894736842,White,0.2179487179487179,0.0006498741213102,0.3738461538461539,True,22.9
Scythe Grand Tornado,0.0958480292061135,0.4210526315789473,Black,0.1282051282051282,0.0041659917874238,0.3119468851377357,True,19.98
Scythe Grand Tornado,0.0958480292061135,0.4210526315789473,Black,0.1282051282051282,0.0041659917874238,0.3119468851377357,True,19.98
ID-COOLING AF-125,0.1715145297809216,0.4210526315789473,White,0.1346153846153846,0.0006485833226053,0.3823076923076923,True,9.99
ID-COOLING AF-125,0.1715145297809216,0.4210526315789473,White,0.1346153846153846,0.0006485833226053,0.3823076923076923,True,32.20846315789474
ARCTIC P8 PST CO,0.0227708681393478,0.2105263157894736,Black,0.1794871794871795,0.0001765812628348,0.3119468851377357,True,8.17
be quiet! Silent Wings 3,0.1715145297809216,0.4210526315789473,Black,0.1602564102564102,0.0004097855621927,0.1753846153846153,False,32.20846315789474
be quiet! Silent Wings 3,0.1715145297809216,0.4210526315789473,Black,0.1602564102564102,0.0004097855621927,0.1753846153846153,False,46.16
be quiet! Silent Wings 3,0.1715145297809216,0.4210526315789473,Black,0.1602564102564102,0.0004097855621927,0.1753846153846153,False,23.9
be quiet! Silent Wings 3,0.1715145297809216,0.4210526315789473,Black,0.1602564102564102,0.0004097855621927,0.1753846153846153,False,32.20846315789474
be quiet! Silent Wings 3,0.1715145297809216,0.4210526315789473,Black,0.1602564102564102,0.0004097855621927,0.1753846153846153,False,32.20846315789474
