name,price,rpm,noise_level_db,color,size_mm,original_price
Jonsbo HX6240,0.1083712586119682,0.0620842572062084,0.5857142857142856,White,0.4896551724137931,102.19361725663715
ID-COOLING SE-234-ARGB V2,0.1083712586119682,0.0399113082039911,0.3955357142857142,Unknown,0.4896551724137931,102.19361725663715
Alpenföhn Dolomit Premium,0.1083712586119682,0.0443458980044345,0.4196428571428571,Black,0.4896551724137931,102.19361725663715
Sapphire NITRO+ S240-A,0.1083712586119682,0.0756097560975609,0.4830357142857143,Black / Silver,0.4,102.19361725663715
KOLINK Umbra Void,0.1083712586119682,0.1463414634146341,0.5357142857142857,Black,0.0,102.19361725663715
KOLINK Umbra Void,0.1083712586119682,0.1463414634146341,0.5357142857142857,Black,0.0,102.19361725663715
KOLINK Umbra Void,0.1083712586119682,0.1463414634146341,0.5357142857142857,Black,0.0,102.19361725663715
KOLINK Umbra Void,0.1083712586119682,0.1463414634146341,0.5357142857142857,Black,0.0,103.28
KOLINK Umbra Void,0.1083712586119682,0.1463414634146341,0.5357142857142857,Black,0.0,103.28
KOLINK Umbra Void,0.1083712586119682,0.1463414634146341,0.5357142857142857,Black,0.0,103.28
KOLINK Umbra Void,0.1083712586119682,0.1463414634146341,0.5357142857142857,Black,0.0,102.19361725663715
KOLINK Umbra Void,0.1083712586119682,0.1463414634146341,0.5357142857142857,Black,0.0,102.19361725663715
KOLINK Umbra Void,0.1083712586119682,0.1463414634146341,0.5357142857142857,Black,0.0,102.19361725663715
Corsair A70,0.1083712586119682,0.1108647450110864,0.5133928571428571,Unknown,0.4896551724137931,102.19361725663715
Corsair H70,0.1083712586119682,0.1108647450110864,0.5133928571428571,Unknown,0.0,102.19361725663715
Cooler Master V10 Hybrid TEC,0.1083712586119682,0.0931263858093126,0.3035714285714285,Unknown,0.4896551724137931,102.19361725663715
Xigmatek Dark Knight II SD1283,0.1083712586119682,0.0931263858093126,0.5375,Unknown,0.4896551724137931,102.19361725663715
ARCTIC Alpine 64 GT,0.1083712586119682,0.0620842572062084,0.4521222306225758,Unknown,0.4896551724137931,102.19361725663715
Enermax ETS-T40F-W,0.151853402167341,0.1463414634146341,0.4821428571428571,Unknown,0.4896551724137931,139.59
Deepcool ICE BLADE 100,0.1083712586119682,0.1463414634146341,0.5642857142857143,Unknown,0.4896551724137931,102.19361725663715
ARCTIC Freezer 33 eSports ONE (Black/Green),0.1083712586119682,0.0399113082039911,0.4357142857142856,Unknown,0.4896551724137931,102.19361725663715
Deepcool NEPTWIN WHITE,0.1083712586119682,0.0576496674057649,0.4267857142857142,White,0.4896551724137931,102.19361725663715
Thermalright SilverArrow TR4,0.1083712586119682,0.0886917960088691,0.5892857142857143,Silver / Red,0.4896551724137931,102.19361725663715
SilentiumPC Navis RGB 240,0.1083712586119682,0.0886917960088691,0.4521222306225758,Black,0.4,102.19361725663715
Cooler Master MasterLiquid ML360P Silver Edition ARGB,0.1083712586119682,0.0598669623059866,0.3392857142857142,Silver / Black,0.8000000000000002,102.19361725663715
Rosewill PB240-RGB,0.1083712586119682,0.0842572062084257,0.4785714285714285,Black,0.4,102.19361725663715
Gigabyte AORUS LIQUID COOLER,0.1083712586119682,0.155210643015521,0.5964285714285714,Black,0.5333333333333333,102.19361725663715
Gigabyte AORUS LIQUID COOLER,0.1083712586119682,0.155210643015521,0.5964285714285714,Black,0.5333333333333333,102.19361725663715
Gigabyte AORUS LIQUID COOLER,0.1083712586119682,0.155210643015521,0.5964285714285714,Black,0.5333333333333333,102.19361725663715
Gigabyte AORUS LIQUID COOLER,0.1083712586119682,0.155210643015521,0.5964285714285714,Black,0.5333333333333333,102.19361725663715
Gigabyte AORUS LIQUID COOLER,0.1083712586119682,0.155210643015521,0.5964285714285714,Black,0.5333333333333333,102.19361725663715
Gigabyte AORUS LIQUID COOLER,0.1083712586119682,0.155210643015521,0.5964285714285714,Black,0.5333333333333333,102.19361725663715
Gigabyte AORUS LIQUID COOLER,0.1083712586119682,0.155210643015521,0.5964285714285714,Black,0.5333333333333333,102.19361725663715
Gigabyte AORUS LIQUID COOLER,0.1083712586119682,0.155210643015521,0.5964285714285714,Black,0.5333333333333333,102.19361725663715
Gigabyte AORUS LIQUID COOLER,0.1083712586119682,0.155210643015521,0.5964285714285714,Black,0.5333333333333333,102.19361725663715
Scythe Mugen 5 Black RGB Edition,0.1083712586119682,0.0177383592017738,0.2580357142857142,Black / Silver,0.4896551724137931,102.19361725663715
Thermalright AXP-90R,0.1083712586119682,0.1906873614190687,0.3999999999999999,Orange / Red,0.4896551724137931,102.19361725663715
Thermalright AXP-90R,0.1083712586119682,0.1906873614190687,0.3999999999999999,Orange / Red,0.4896551724137931,102.19361725663715
Thermalright AXP-90R,0.1083712586119682,0.1906873614190687,0.3999999999999999,Orange / Red,0.4896551724137931,102.19361725663715
Thermalright AXP-90R,0.1083712586119682,0.1906873614190687,0.3999999999999999,Orange / Red,0.4896551724137931,102.19361725663715
Enermax AQUAFUSION 360,0.1083712586119682,0.0620842572062084,0.4428571428571428,Black,0.8000000000000002,102.19361725663715
ARESGAME RIVER 5,0.1083712586119682,0.0576496674057649,0.4678571428571428,Black,0.4896551724137931,102.19361725663715
MSI MAG CORELIQUID RH,0.1083712586119682,0.0620842572062084,0.4339285714285714,Black,0.4,102.19361725663715
MSI MAG CORELIQUID RH,0.1083712586119682,0.0620842572062084,0.4339285714285714,Black,0.4,102.19361725663715
MSI MAG CORELIQUID RH,0.1083712586119682,0.0620842572062084,0.4339285714285714,Black,0.4,102.19361725663715
MSI MAG CORELIQUID RH,0.1083712586119682,0.0620842572062084,0.4339285714285714,Black,0.4,102.19361725663715
Thermaltake Water 3.0 Riing Red 140,0.1083712586119682,0.0354767184035476,0.4008928571428571,Black / Red,0.0666666666666666,102.19361725663715
ID-COOLING DK-19 PWM,0.1083712586119682,0.0753880266075388,0.3571428571428571,Unknown,0.4896551724137931,102.19361725663715
