name,price,socket,form_factor,max_memory_gb,memory_slots,color,memory_type,storage_support,estimated_release_year,original_price
Asus ROG CROSSHAIR X670E GENE,0.1543231832732783,AM5,MICRO ATX,96,2,Black / Silver,DDR5,"PCIe 5.0 NVMe, PCIe 4.0 NVMe, SATA",2022.0,658.73
Asus TUF GAMING B650M-E WIFI,0.0431828608838645,AM5,MICRO ATX,192,4,Black,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,227.53
Asus TUF GAMING Z690-PLUS WIFI,0.0412394517214893,LGA1700,ATX,192,4,Black / Gray,DDR5,"PCIe 4.0 NVMe, SATA",2021.0,219.99
ASRock Z690 Phantom Gaming 4/D5,0.0180422601281515,LGA1700,ATX,192,4,Black / Silver,DDR5,"PCIe 4.0 NVMe, SATA",2021.0,129.99
Asus PRIME Z490-P,0.0360845202563031,LGA1200,ATX,128,4,Black / Silver,DDR4,SATA Only,2020.0,199.99
MSI MEG X570 UNIFY,0.0542728816119966,AM4,ATX,128,4,Black,DDR4,"PCIe 3.0 NVMe, SATA",2020.0,270.5568406205924
ASRock B650E STEEL LEGEND WIFI,0.0360845202563031,AM5,ATX,192,4,Black / Silver,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,199.99
MSI MEG Z690 UNIFY,0.0360845202563031,LGA1700,ATX,192,4,Black / Silver,DDR5,"PCIe 4.0 NVMe, SATA",2021.0,199.99
MSI PRO X670-P WIFI,0.0747465062451994,AM5,ATX,192,4,Black / White,DDR5,SATA Only,2022.0,349.99
ASRock Z690M Phantom Gaming 4,0.0103098629303723,LGA1700,MICRO ATX,128,4,Silver / Black,DDR5,"PCIe 4.0 NVMe, SATA",2021.0,99.99
MSI MPG X570 GAMING EDGE WIFI,0.0616040084747073,AM4,ATX,128,4,Black / Silver,DDR4,"PCIe 3.0 NVMe, SATA",2020.0,299.0
Asus TUF GAMING X670E-PLUS,0.0755558304852337,AM5,ATX,192,4,Black / Orange,DDR5,"PCIe 5.0 NVMe, PCIe 4.0 NVMe, SATA",2022.0,353.13
Asus TUF GAMING B660-PLUS WIFI D4,0.0401620710452654,LGA1700,ATX,128,4,Yellow / Black,Unknown,SATA Only,2021.0,215.81
Asus PRIME B550M-K,0.0141709065977967,AM4,MICRO ATX,128,4,Black / White,DDR4,SATA Only,2020.0,114.97
ASRock X570 Phantom Gaming-ITX/TB3,0.0616040084747073,AM4,MINI ITX,64,2,Black / Silver,DDR4,"PCIe 3.0 NVMe, SATA",2020.0,299.0
MSI MPG Z690 EDGE WIFI DDR4,0.0796462686028589,LGA1700,ATX,128,4,Black / Gray,DDR5,"PCIe 4.0 NVMe, SATA",2021.0,369.0
Asus PROART B650-CREATOR,0.0438169174540824,AM5,ATX,192,4,Black / Copper,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,229.99
ASRock X670E Pro RS,0.0412394517214893,AM5,ATX,192,4,Black,DDR5,"PCIe 5.0 NVMe, PCIe 4.0 NVMe, SATA",2022.0,219.99
Asus TUF GAMING X570-PRO WIFI II,0.0542728816119966,AM4,ATX,128,4,Black,DDR4,"PCIe 3.0 NVMe, SATA",2020.0,270.5568406205924
ASRock X570 Phantom Gaming 4S,1.0,AM4,ATX,128,4,Black,DDR4,"PCIe 3.0 NVMe, SATA",2020.0,3939.77
ASRock Z690 Phantom Gaming-ITX/TB4,0.0347957873900066,LGA1700,MINI ITX,96,2,Black / Red,DDR5,"PCIe 4.0 NVMe, SATA",2021.0,194.99
Asus ROG STRIX B550-F GAMING (WI-FI),0.0693364056724865,AM4,ATX,128,4,Black,DDR4,SATA Only,2020.0,329.0
MSI MPG Z490 GAMING EDGE WIFI,0.0542728816119966,LGA1200,ATX,128,4,Black / Silver,DDR4,SATA Only,2020.0,270.5568406205924
Asus ROG STRIX B660-I GAMING WIFI,0.0542728816119966,LGA1700,MINI ITX,96,2,Black / Silver,Unknown,SATA Only,2021.0,270.5568406205924
Asus ROG STRIX B550-I GAMING,0.0542728816119966,AM4,MINI ITX,64,2,Black,DDR4,SATA Only,2020.0,270.5568406205924
Asus PRIME B650M-A AX II,0.0257746573259308,AM5,MICRO ATX,192,4,Black / Silver,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,159.99
Gigabyte B650E AORUS MASTER,0.1000134028218094,AM5,ATX,192,4,Black / Silver,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,448.02
Gigabyte X570 AORUS ELITE WIFI,0.0670141090474202,AM4,ATX,128,4,Black,DDR4,"PCIe 3.0 NVMe, SATA",2020.0,319.99
